Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2016-01-04,0.7895450592041016,0.79466720131621,0.7814959455117632,0.7875937835861441,358076000
2016-01-05,0.8022286295890808,0.8156438402067042,0.7927160288685824,0.8044238585599577,490272000
2016-01-06,0.7690566778182983,0.7927161784580768,0.7600318652861002,0.7890574628161976,449344000
2016-01-07,0.7385672926902771,0.7549094135318974,0.7288107410104516,0.7497872137231637,645304000
2016-01-08,0.7227129936218262,0.7488116091451638,0.7212495078974109,0.7480798662829561,398472000
2016-01-11,0.7239324450492859,0.729054644509919,0.7110050861898292,0.723444655298082,409372000
2016-01-12,0.7361281514167786,0.746860341405581,0.7310060094811854,0.7368598942866192,469356000
2016-01-13,0.7136884331703186,0.7466166381524733,0.7129566901126435,0.7417383317168701,481672000
2016-01-14,0.6992974281311035,0.7073465418262822,0.6785648484548448,0.6990534750638024,600236000
2016-01-15,0.6612470746040344,0.6792966369787262,0.6497831987295463,0.671247522742886,841452000
2016-01-19,0.6666131019592285,0.6939313085806847,0.6639300253861963,0.674906110277184,457140000
2016-01-20,0.6702716946601868,0.6788086552281826,0.6451487190274486,0.653929574477783,481180000
2016-01-21,0.6780769228935242,0.688565158988679,0.6636860778542881,0.6775891331213184,481456000
2016-01-22,0.6939314007759094,0.6985657535147802,0.6895409429748847,0.6910044289085596,257996000
2016-01-25,0.6931993365287781,0.7017362950830186,0.6917358512733914,0.6936871843316644,270728000
2016-01-26,0.7000290751457214,0.7029560465692377,0.6875895629023582,0.6946630384069956,227944000
2016-01-27,0.6917360424995422,0.7012486411359822,0.6785647878664953,0.6990534126460448,231700000
2016-01-28,0.6841749548912048,0.699785336954735,0.6707597437336077,0.6973462129400178,276776000
2016-01-29,0.7144199013710022,0.715883387042436,0.6873456490626322,0.6900286673580682,310504000
2016-02-01,0.7146638035774231,0.7183224593424428,0.7075903287708908,0.7136881659169702,289884000
2016-02-02,0.6844186186790466,0.7110050789056758,0.679540372297277,0.7073464231959906,341908000
2016-02-03,0.687833309173584,0.6939311456038358,0.6719790391308297,0.6897846424187069,326772000
2016-02-04,0.688077449798584,0.7036878292497837,0.6812478688082945,0.6888091345425815,348140000
2016-02-05,0.6446611285209656,0.6910045475606854,0.6427098523765458,0.6834432798094218,600428000
2016-02-08,0.615147590637207,0.6380753413654838,0.6061227807749795,0.6349044747983866,608852000
